ID,CAM17U_COD,CAM17U_DEN,CAM17U_NOME,DAB,IV,ST,TSO,TSOFM,ICMI,AAST,PDU,ADD,ADDSP,OAI,OSS,POP_NFR,EDI,IVMS
73,CU052_04,Veneto 2 - 04,Abano Terme,247.9467583413,150.58512999,65.8719352475,65.2470187394,73.2650152997,23.9109337934,3.8606206652,9.2724062948,334.6173560034,44.127404398,24.8807670711,25.8644831581,5.8263735302,13.9109838889,93.7035214838
74,CU052_05,Veneto 2 - 05,Vicenza,375.2874866741,133.6778984871,121.9912513553,65.9869330534,76.3565353157,23.1464032751,1.6278622092,12.3967360306,449.6130407148,69.4993831084,29.5737904865,23.9692031441,10.0110287386,18.4464829305,94.3046823743
75,CU052_06,Veneto 2 - 06,Bassano del Grappa,271.8531568659,123.953549403,81.0641774884,65.5334403479,73.7796295147,23.5023041475,1.6440483135,9.9033584504,412.3217011776,52.4052267362,35.6969543885,21.0322472005,6.7153092365,21.512693365,92.557090327
76,CU052_07,Veneto 2 - 07,Schio,321.3786309658,123.7697185107,110.3889706157,65.9899453597,74.4074716664,25.5581260844,1.5258388768,8.7725365329,385.7158873551,46.2490784498,41.4485300951,19.6787584028,6.4036906767,25.6761225575,92.5298451535
77,CU052_08,Veneto 2 - 08,San Bonifacio,189.0908462564,115.051933572,95.3066112173,66.4450822324,73.635407903,23.0597988793,1.8801622953,10.0131920015,354.6219111449,55.9474964261,24.4056758344,24.5798254382,9.8487569132,27.84084372,93.7013255667
78,CU052_09,Veneto 2 - 09,Verona,1269.4782698976,191.6718323828,119.5350863298,65.3328283307,80.7299394936,22.1048716995,1.4427591557,17.9721146838,484.1121495327,99.3822271503,14.4856260617,33.1862933729,16.8902781838,32.375063994,96.2584858281
79,CU052_10,Veneto 2 - 10,Legnago,192.7329476897,131.1772026678,103.6009805487,66.432262381,73.6862600589,24.3343853686,3.0529591244,7.5113377056,350.1751650684,41.0393440467,31.1310072968,20.9259414577,8.8316804711,18.3015964609,96.6507837609
80,CU052_11,Veneto 2 - 11,Villafranca di Verona,336.2292854051,115.3247207722,98.1659897645,68.1811634463,75.9105266276,24.8878564563,2.0203460734,9.6889681966,387.5507676617,47.3163713188,20.7486798971,29.0815224859,14.8923601995,14.4114144041,93.4154593078
81,CU061_01,Friuli-Venezia Giulia - 01,Trieste,1794.5958071885,248.7706893781,73.6823534202,64.5175468002,87.2381688199,27.3163972286,1.2045091037,16.0555997912,388.338754258,103.1589137643,69.1521495469,23.0513497597,13.4297672011,43.0766494754,94.8574487621
82,CU061_02,Friuli-Venezia Giulia - 02,Gorizia,154.7373186069,204.4585987261,64.9338509149,63.7480255558,78.8404154255,27.1969019958,1.6819854586,11.3880970388,308.4825316232,59.9351547087,22.2809213218,25.2123998171,14.6904843335,26.1468777825,94.5589822851
83,CU061_03,Friuli-Venezia Giulia - 03,Udine,242.8941168983,186.2162239116,89.0677848058,65.4499155834,78.3243719842,24.0364896401,2.1742706124,13.4372258412,443.8495798049,89.0677848058,21.5494662158,25.6821497248,15.7411654924,22.5919839313,93.5329293585
84,CU061_04,Friuli-Venezia Giulia - 04,Codroipo,62.3474625767,191.3046566973,48.5325666261,66.0178809418,78.8707179735,24.1045498548,1.8682638532,9.6008974957,316.5232776733,48.7227689926,24.6236680675,22.847073088,10.7627508682,24.9509050041,91.6828054092
85,CU061_05,Friuli-Venezia Giulia - 05,Pordenone,169.6533279945,147.76603792,108.6862791765,66.4417666419,77.9286094901,23.8478955781,2.4478815809,11.381287137,399.1418233494,62.1074307474,31.9422414265,20.5546135755,23.1897742708,20.2817011213,92.8901352774
86,CU071_01,Liguria - 01,Sanremo,189.2911298011,225.3787412243,87.1428260696,61.6467657014,78.2457992313,32.5008695652,3.8265021032,9.9249969051,302.1395996317,59.319330351,8.3404662635,30.0457427911,33.3015630957,40.9263854425,101.1047403226
87,CU071_02,Liguria - 02,Savona,177.0794867083,251.2343096234,60.6041473472,63.5370478318,78.1650136676,28.62870234,2.3988274494,11.7406837874,332.533591145,66.6969200718,15.2886475003,31.6575310894,27.7715001029,41.5673711763,97.9457308234
88,CU071_03,Liguria - 03,Genova - Unità Urbanistica Sestri,982.5326369182,227.6248139629,87.5782513614,61.5330871984,78.1226331615,30.929221036,3.2934218959,9.8064462149,327.8746870934,56.2421155451,15.2273054089,33.1600895663,25.5134900856,57.8148275467,100.0259617551
89,CU071_04,Liguria - 04,Genova - Unità Urbanistica San Fruttuoso,2275.4286410325,239.586979349,75.8915845818,64.4242883958,82.3877431767,27.5762439807,2.6775040688,15.1672270968,261.8336870111,58.3528647895,10.501047486,36.0936530106,24.5755414176,64.7789693958,98.3966807692
90,CU071_05,Liguria - 05,Genova - Rapallo,245.2179305796,249.7222054472,51.3097244078,63.4063530029,77.6007515094,23.6533315035,2.1231905331,19.1200897868,566.5968054144,106.8877160245,11.6464173636,36.1226529217,22.6779646089,54.3435019426,98.4630104168
91,CU071_06,Liguria - 06,La Spezia,251.7184355342,236.8622897755,64.1910091581,62.0651115367,76.0974860791,27.4595469256,2.7702181046,11.6818651876,324.0586631932,69.3007212292,13.6518561734,31.9495194522,26.8456664161,41.2237992293,99.6467211963
92,CU081_01,Emilia-Romagna - 01,Imola,143.8611712958,169.7073898657,78.9928304226,69.4954589225,85.1294743628,26.9879304224,3.9338745129,12.7061833869,366.2506758569,52.1431805494,24.8394584139,25.3462282398,19.6072909855,27.0501988072,96.7041150119
93,CU081_02,Emilia-Romagna - 02,Cesena,145.0133290528,155.0231068165,95.686008271,68.0614772175,79.4517282871,25.5630786237,4.8941878903,10.9587771708,390.3178826802,59.4227814096,18.7304781839,24.2497182418,15.6461651477,18.0887665577,97.1425667954
94,CU081_03,Emilia-Romagna - 03,Ravenna,235.884550693,191.2828767871,102.3830753584,67.6906186407,82.1248139075,25.7863107781,5.1663430992,12.1137559136,366.8863284896,59.6500271675,20.8990624154,26.8079145509,17.0138875416,15.5750409001,98.6874368554
95,CU081_04,Emilia-Romagna - 04,Ferrara,124.1786942213,260.5992797455,65.8378206011,65.7775514809,83.0949779113,25.1942740286,5.9108135748,12.6668916189,328.7252777516,70.3492459216,19.209571409,23.6700670957,15.2938164525,20.7802263252,96.291675466
96,CU081_05,Emilia-Romagna - 05,San Giovanni in Persiceto,207.9212840085,143.8861214087,83.1005141159,70.7218188563,84.9845177952,27.4618965045,3.6462457513,10.4366656133,438.5973864714,41.6012859275,27.0010604066,26.4553166594,19.6814751947,23.0308268511,96.7203830351
97,CU081_06,Emilia-Romagna - 06,Bologna - Zona Urbana Mazzini,3035.27838856,237.9548240238,120.4912724297,69.4437214145,89.4598921745,20.8262541357,2.2651418475,27.659861559,588.7086453554,162.2191801009,12.4301987938,35.8017903472,27.7422825421,43.9440891409,97.0802323886
98,CU081_07,Emilia-Romagna - 07,Bologna - Casalecchio di Reno,282.5573396346,196.8033738769,100.0305006804,69.5603106953,87.1394792793,27.1723256663,2.9754357575,15.9085633641,415.8454945021,69.9169443011,22.1043222769,29.8178696591,21.0305408189,31.5076995832,97.5844729622
99,CU081_08,Emilia-Romagna - 08,Cento,197.4024120807,148.6011776055,109.6587788629,68.5800851013,79.9427601556,29.9932295193,3.8740636704,9.5457049256,314.0762673416,37.1928651591,34.139838981,20.8182135565,18.7831553427,26.9504829552,98.5448701347
100,CU081_09,Emilia-Romagna - 09,Modena,672.7311909359,163.8512246101,130.8594328721,68.2244298307,85.2150494806,26.0268885092,2.8225295557,16.1342890016,487.577409701,93.3175797801,25.7254621863,26.408982941,22.6369102663,23.9304596023,98.6372506996
101,CU081_10,Emilia-Romagna - 10,Sassuolo,173.2478293108,142.3400223507,105.5423469118,68.4115925345,79.3721305381,29.6342341163,3.6717367269,9.3986592975,399.8661524101,43.87735334,33.1628977154,21.85294505,18.9008470471,24.3602109053,98.5029476794
102,CU081_11,Emilia-Romagna - 11,Scandiano,155.6271479257,136.3666651859,105.7125724833,68.0062467465,76.4970564013,30.0183811878,3.7392734678,8.4333728551,346.5497777346,40.550454413,34.5497984172,20.5875765268,20.3419988013,24.159638912,98.9996291115
103,CU081_12,Emilia-Romagna - 12,Parma,393.3021529756,171.487221595,114.7875006762,69.9950169494,83.9910442029,23.8804597701,2.4118135329,18.5929566989,500.7933788925,97.5224940947,22.7320803051,27.5439805156,23.3271545842,28.6706175264,96.8292240099
